Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
İZMİR EKONOMİ ÜNİVERSİTESİ;www.ieu.edu.tr;True;True;13.03.2025 08:03;3.04.2026 10:10;False;False;False;False;False;False;True;True;0;False
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;http://www.ikc.edu.tr/;True;True;5.08.2024 00:00;5.08.2025 23:59;False;False;False;False;False;False;True;True;0;True
İZMİR KAVRAM MESLEK YÜKSEKOKULU;www.kavram.edu.tr;True;True;16.01.2025 08:03;17.02.2026 08:03;True;False;True;True;True;False;False;True;4;True
İZMİR TINAZTEPE ÜNİVERSİTESİ;www.tinaztepe.edu.tr;True;True;26.09.2024 00:00;26.09.2025 23:59;False;False;False;False;False;False;True;True;0;False
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;http://www.iyte.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;False
KADİR HAS ÜNİVERSİTESİ;http://www.khas.edu.tr;True;True;2.07.2024 00:00;24.07.2025 23:59;False;False;False;False;False;False;True;True;0;False
KAFKAS ÜNİVERSİTESİ;http://www.kafkas.edu.tr;True;True;10.06.2024 00:00;9.06.2025 23:59;False;False;False;False;False;False;True;True;0;False
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;www.istiklal.edu.tr;True;True;25.07.2024 09:02;25.07.2025 09:02;False;False;False;False;False;False;True;True;0;False
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;www.ksu.edu.tr;True;True;7.04.2025 00:00;8.05.2026 23:59;False;False;False;False;False;False;True;True;0;False
KAPADOKYA ÜNİVERSİTESİ;www.kapadokya.edu.tr;True;True;12.04.2025 06:48;11.07.2025 06:48;False;False;True;False;False;False;True;True;1;False
KARABÜK ÜNİVERSİTESİ;http://www.karabuk.edu.tr/;True;True;6.03.2025 00:00;5.04.2026 23:59;True;False;False;False;False;False;True;True;1;False
KARADENİZ TEKNİK ÜNİVERSİTESİ;http://www.ktu.edu.tr;True;True;6.08.2024 00:00;6.09.2025 23:59;True;True;True;True;True;False;False;False;5;False
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;http://www.kmu.edu.tr;True;True;20.09.2024 00:00;21.10.2025 23:59;False;False;False;False;False;False;True;True;0;False
KASTAMONU ÜNİVERSİTESİ;http://www.kastamonu.edu.tr/ind ex.php/tr/;True;True;13.06.2024 00:00;24.05.2025 23:59;False;False;False;False;False;False;True;True;0;False
KAYSERİ ÜNİVERSİTESİ;http://www.kayseri.edu.tr;True;True;18.07.2024 00:00;31.07.2025 23:59;False;False;True;False;False;False;True;True;1;False
KIRIKKALE ÜNİVERSİTESİ;http://kku.edu.tr;True;True;18.09.2024 00:00;18.10.2025 23:59;True;False;False;False;False;False;True;True;1;False
KIRKLARELİ ÜNİVERSİTESİ;http://www.klu.edu.tr/;True;True;4.06.2024 00:00;3.06.2025 23:59;False;False;False;False;False;False;True;True;0;False
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ;www.ahievran.edu.tr;True;True;13.05.2025 00:00;13.06.2026 23:59;True;False;True;True;True;False;False;True;4;False
KİLİS 7 ARALIK ÜNİVERSİTESİ;www.kilis.edu.tr;True;True;17.07.2024 13:52;17.07.2025 13:52;False;False;False;False;False;False;True;True;0;False
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.kocaelisaglik.edu.tr;True;True;24.10.2024 00:00;24.10.2025 23:59;False;False;False;False;False;False;True;True;0;False
KOCAELİ ÜNİVERSİTESİ;http://www.kocaeli.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;False
KOÇ ÜNİVERSİTESİ;http://www.ku.edu.tr;True;True;16.01.2025 00:00;14.02.2026 23:59;False;False;False;False;False;False;True;True;0;True
KONYA GIDA VE TARIM ÜNİVERSİTESİ;http://www.gidatarim.edu.tr/;True;True;11.11.2024 00:00;12.12.2025 23:59;False;False;False;False;False;False;True;True;0;True
KONYA TEKNİK ÜNİVERSİTESİ;http://www.ktun.edu.tr/;True;True;11.12.2024 00:00;30.10.2025 23:59;False;False;True;False;False;False;True;True;1;True
KTO KARATAY ÜNİVERSİTESİ;http://www.karatay.edu.tr;True;True;2.05.2025 14:50;31.07.2025 15:49;False;False;False;False;False;False;True;True;0;False
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ;http://dpu.edu.tr;True;True;5.11.2024 00:00;6.12.2025 23:59;False;False;False;False;False;False;True;True;0;False
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.ksbu.edu.tr/;True;True;12.09.2024 00:00;14.09.2025 23:59;False;False;False;False;False;False;True;True;0;False
LOKMAN HEKİM ÜNİVERSİTESİ;www.lokmanhekim.edu.tr;True;True;8.11.2024 00:00;7.11.2025 23:59;False;False;False;False;False;False;True;True;0;False
