Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?;Toplam Skor
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.ksbu.edu.tr/;1;1;12.09.2024 00:00;14.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;113;1;0;1;0;1677;0;1;0;0;0;1;0;1;;37;0;22
LOKMAN HEKİM ÜNİVERSİTESİ;www.lokmanhekim.edu.tr;1;1;8.11.2024 00:00;7.11.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;585;1;0;1;0;999;0;1;0;0;0;1;0;1;;37;0;20
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ;www.ozal.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
MALTEPE ÜNİVERSİTESİ;http://www.maltepe.edu.tr/;1;1;17.05.2025 15:37;15.08.2025 16:35;0;0;0;0;0;0;1;1;0;1;0;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;0;1;1;1;0;1;0;637;0;0;1;0;1436;0;1;0;1;1;1;3;1;index, follow;32;0;21
MANİSA CELÂL BAYAR ÜNİVERSİTESİ;www.cbu.edu.tr;1;1;17.05.2025 05:22;15.08.2025 05:22;1;0;0;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;701;0;1;0;0;1;0;1;0;0;0;1;0;0;;0;0;13
MARDİN ARTUKLU ÜNİVERSİTESİ;http://www.artuklu.edu.tr/;1;1;31.05.2024 00:00;27.05.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1022;1;0;1;0;2247;1;1;0;0;0;1;0;1;;32;0;23
MARMARA ÜNİVERSİTESİ;http://www.marmara.edu.tr;1;1;13.08.2024 00:00;17.08.2025 23:59;0;1;1;1;0;0;0;1;3;1;0;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;617;0;0;1;0;1710;0;1;0;1;0;1;1;1;all;20;0;21
MEF ÜNİVERSİTESİ;www.mef.edu.tr;1;1;12.05.2025 13:49;10.08.2025 13:49;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;91;0;0;1;0;1025;0;1;0;1;0;1;1;1;;22;0;20
MERSİN ÜNİVERSİTESİ;http://www.mersin.edu.tr/idari/g enel-sekreterlik;1;1;18.02.2025 00:00;21.03.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;754;1;0;1;0;2861;0;1;0;1;0;1;0;1;;21;0;21
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;https://www.msgsu.edu.tr;1;1;24.05.2024 12:26;24.05.2025 12:26;0;1;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1016;0;0;1;0;1315;0;1;0;0;0;1;0;1;max-image-preview:large;39;0;22
MUDANYA ÜNİVERSİTESİ;https://mudanya.edu.tr;1;1;18.05.2025 14:22;16.08.2025 14:22;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;0;840;1;1;1;0;692;0;1;0;1;0;1;0;1;;20;0;22
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ;http://www.mu.edu.tr/;1;1;5.08.2024 00:00;3.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;871;1;0;1;0;2732;0;1;0;1;0;1;0;1;all;31;0;19
MUNZUR ÜNİVERSİTESİ;www.munzur.edu.tr;1;1;8.07.2024 00:00;13.07.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;0;1;Kapsam Dışı;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;912;1;0;1;0;797;0;1;0;0;0;1;7;1;;19;0;21
MUŞ ALPARSLAN ÜNİVERSİTESİ;www.alparslan.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
NECMETTİN ERBAKAN ÜNİVERSİTESİ;http://www.erbakan.edu.tr;1;1;13.04.2025 01:38;12.07.2025 02:38;1;0;1;1;0;0;0;1;3;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;694;1;0;1;0;897;0;1;0;1;0;1;4;1;;41;0;22
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ;http://www.nevsehir.edu.tr/;1;1;27.08.2024 12:33;27.08.2025 12:33;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;863;1;0;1;0;1140;0;1;0;1;0;1;0;1;noarchive;38;0;21
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ;http://www.ohu.edu.tr/;1;1;1.11.2024 14:50;3.12.2025 14:50;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;686;1;0;1;0;1661;0;1;0;0;0;1;0;1;;43;0;22
NUH NACİ YAZGAN ÜNİVERSİTESİ;http://www.nny.edu.tr;1;1;16.09.2024 00:00;16.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;689;1;0;1;0;1018;0;0;0;0;0;1;0;1;;35;0;19
ONDOKUZ MAYIS ÜNİVERSİTESİ;http://www.omu.edu.tr/;1;1;27.02.2025 00:00;30.03.2026 23:59;0;0;1;1;0;0;0;1;2;1;0;1;0;1;Kapsam Dışı;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;2169;1;0;1;0;3382;0;0;0;0;1;1;3;1;;32;0;23
ORDU ÜNİVERSİTESİ;http://www.odu.edu.tr;1;1;7.10.2024 08:39;7.10.2025 08:39;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;10
ORTA DOĞU TEKNİK ÜNİVERSİTESİ;http://www.metu.edu.tr;1;1;8.08.2024 00:00;13.08.2025 23:59;0;0;1;1;0;0;0;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;478;1;0;1;0;643;0;1;0;1;0;1;0;1;;65;0;22
OSMANİYE KORKUT ATA ÜNİVERSİTESİ;http://www.osmaniye.edu.tr;1;1;20.12.2024 00:00;19.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;584;1;0;1;0;1585;0;1;0;1;0;1;0;1;;32;0;23
OSTİM TEKNİK ÜNİVERSİTESİ;www.ostimteknik.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
ÖZYEĞİN ÜNİVERSİTESİ;www.ozyegin.edu.tr;1;1;21.10.2024 00:00;21.11.2025 23:59;1;1;1;1;0;0;0;0;4;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;85;0;0;1;0;1124;0;1;0;1;1;1;0;1;follow, index;20;0;24
PAMUKKALE ÜNİVERSİTESİ;http://www.pau.edu.tr;1;1;1.04.2025 23:10;30.06.2025 23:10;1;0;0;0;0;0;1;1;1;1;0;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1185;1;0;1;0;1635;0;1;0;0;0;1;2;1;;22;0;21
PİRİ REİS ÜNİVERSİTESİ;http://www.pirireis.edu.tr;1;1;7.01.2025 16:49;8.02.2026 16:49;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;571;1;0;1;0;902;0;1;0;0;0;1;0;1;max-image-preview:large;22;0;20
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ;erdogan.edu.tr;1;1;30.10.2024 00:00;30.11.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1342;1;0;1;0;1168;0;1;0;0;0;1;30;1;;33;0;19
SABANCI ÜNİVERSİTESİ;http://www.sabanciuniv.edu;1;1;7.05.2025 10:41;8.06.2026 10:41;1;0;1;1;0;0;0;1;3;1;1;0;1;1;Kapsam Dışı;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;105;0;0;1;0;988;0;1;0;0;0;1;0;1;;32;0;22
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.sbu.edu.tr;1;1;12.12.2024 09:58;13.01.2026 09:58;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1204;1;1;1;0;879;0;1;0;0;0;1;2;1;;29;0;21
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;www.subu.edu.tr;1;1;24.12.2024 00:00;24.12.2025 23:59;1;0;1;1;0;0;0;1;3;1;1;0;1;1;Kapsam Dışı;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;62;1;0;1;0;1276;0;1;0;0;0;1;0;1;;52;0;22
SAKARYA ÜNİVERSİTESİ;http://www.sakarya.edu.tr;1;1;23.07.2024 00:00;23.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;718;1;0;1;0;1234;0;1;0;1;0;1;0;1;;51;0;21
SAMSUN ÜNİVERSİTESİ;www.samsun.edu.tr;1;1;10.04.2025 23:03;10.07.2025 00:02;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;644;1;0;1;0;1293;0;1;0;0;0;1;0;1;;31;0;22
SANKO ÜNİVERSİTESİ;http://www.sanko.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
SELÇUK ÜNİVERSİTESİ;http://www.selcuk.edu.tr/;1;1;12.12.2024 00:00;12.01.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;10
SİİRT ÜNİVERSİTESİ;http://siirt.edu.tr;1;1;18.03.2025 00:00;18.04.2026 23:59;1;0;0;0;0;0;1;1;1;1;0;1;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1367;0;0;1;0;849;0;1;0;0;0;1;0;1;index, follow;35;0;20
SİNOP ÜNİVERSİTESİ;http://www.sinop.edu.tr;1;1;12.08.2024 00:00;9.08.2025 23:59;0;1;1;0;0;0;1;1;2;1;0;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;2182;0;0;0;0;2061;0;1;0;0;0;1;1;1;max-image-preview:large;18;0;20
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.sivas.edu.tr/;1;1;3.12.2024 00:00;3.12.2025 23:59;1;1;1;1;1;0;0;0;5;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;924;1;0;1;0;1652;0;1;0;1;1;1;7;1;noodp;44;0;28
SİVAS CUMHURİYET ÜNİVERSİTESİ;http://www.cumhuriyet.edu.tr;1;1;4.12.2024 12:53;5.01.2026 12:53;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;607;1;0;1;0;536;1;1;0;0;0;1;0;1;;29;0;21
SÜLEYMAN DEMİREL ÜNİVERSİTESİ;http://www.sdu.edu.tr/;1;1;18.09.2024 00:00;1.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1826;1;0;1;0;7156;0;1;0;1;1;1;1;1;;29;0;22
ŞIRNAK ÜNİVERSİTESİ;http://www.sirnak.edu.tr;1;1;2.01.2025 00:00;2.02.2026 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;117;1;0;1;0;937;0;1;0;0;0;1;1;1;;19;0;22
TARSUS ÜNİVERSİTESİ;www.tarsus.edu.tr;1;1;18.12.2024 00:00;18.01.2026 23:59;1;1;0;0;0;0;1;0;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;860;1;0;1;0;1123;0;0;1;1;1;1;21;1;index, follow;19;0;22
TED ÜNİVERSİTESİ;http://www.tedu.edu.tr;1;1;6.02.2025 13:13;10.03.2026 13:13;1;0;1;1;0;0;0;1;3;1;0;0;0;1;Kapsam Dışı;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;617;1;0;0;0;1390;0;1;0;1;1;1;1;1;;64;0;25
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ;http://www.nku.edu.tr;1;1;12.06.2024 06:58;12.06.2025 06:58;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;741;1;0;1;0;1242;0;0;0;1;0;1;0;1;;33;0;23
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ;www.etu.edu.tr;1;1;26.11.2024 00:00;27.12.2025 23:59;0;0;1;1;0;0;0;1;2;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;165;0;0;1;0;589;1;1;0;1;1;1;1;1;;8;0;23
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ;www.gop.edu.tr;1;1;31.07.2024 00:00;30.07.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;1;0;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;1323;1;0;1;0;1979;0;1;0;1;0;1;0;1;;32;0;21
TOROS ÜNİVERSİTESİ;www.toros.edu.tr;1;1;19.04.2025 01:16;18.07.2025 02:14;0;0;1;1;0;0;0;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1677;1;0;1;0;1081;0;1;0;1;1;1;0;1;;18;0;22
TRABZON ÜNİVERSİTESİ;www.trabzon.edu.tr;1;1;17.03.2025 00:00;17.04.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;1442;1;0;1;0;937;0;0;0;1;0;1;0;1;;20;0;18
TRAKYA ÜNİVERSİTESİ;http://www.trakya.edu.tr/;1;1;8.05.2025 06:48;9.06.2026 06:48;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;790;0;0;1;0;1195;0;1;0;0;0;1;0;1;;30;0;21
TÜRK HAVA KURUMU ÜNİVERSİTESİ;http://www.thk.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
TÜRK-ALMAN ÜNİVERSİTESİ;http://www.tau.edu.tr/;1;1;19.09.2024 00:00;21.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;1259;0;0;1;0;2563;0;1;0;0;0;1;0;1;;23;0;17
TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;8
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;8
UFUK ÜNİVERSİTESİ;http://www.ufuk.edu.tr;1;1;18.05.2025 18:57;16.08.2025 18:57;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1126;0;0;1;0;683;1;1;0;1;0;1;0;1;follow, index;17;0;22
UŞAK ÜNİVERSİTESİ;http://www.usak.edu.tr;1;1;20.09.2024 00:00;21.10.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;1413;1;0;1;0;2444;0;1;0;0;0;1;0;1;index, follow;17;0;22
ÜSKÜDAR ÜNİVERSİTESİ;http://www.uskudar.edu.tr;1;1;16.04.2025 11:52;15.07.2025 11:52;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;605;0;0;1;0;1083;1;1;0;0;1;1;1;1;;20;0;23
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ;http://www.yyu.edu.tr/;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
YALOVA ÜNİVERSİTESİ;http://www.yalova.edu.tr/rektorl uk;1;1;9.09.2024 00:00;10.10.2025 23:59;1;0;0;0;0;0;1;1;1;1;0;0;1;1;Kapsam Dışı;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;909;1;0;1;0;1639;0;1;0;0;0;1;0;1;;30;0;21
YAŞAR ÜNİVERSİTESİ;http://www.yasar.edu.tr;1;1;1.11.2024 00:00;1.12.2025 23:59;0;0;1;1;1;0;0;1;3;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;600;0;0;0;0;46;0;0;0;0;0;1;1;1;noindex, nofollow;32;0;17
YEDİTEPE ÜNİVERSİTESİ;http://www.yeditepe.edu.tr/;1;1;5.08.2024 00:00;8.08.2025 23:59;1;0;1;1;1;0;0;1;4;1;0;0;0;1;Kapsam Dışı;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;82;0;0;1;0;976;0;0;0;0;1;1;0;1;;68;0;24
YILDIZ TEKNİK ÜNİVERSİTESİ;http://www.yildiz.edu.tr;1;1;17.10.2024 00:00;17.11.2025 23:59;0;0;1;1;0;0;0;1;2;1;1;0;1;1;Kapsam Dışı;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;0;677;1;0;1;0;1291;0;1;0;0;0;1;0;1;;26;0;23
YOZGAT BOZOK ÜNİVERSİTESİ;http://www.bozok.edu.tr/;1;1;26.11.2024 00:00;21.10.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;3439;1;0;1;0;1361;0;1;0;0;0;1;0;1;;4;0;20
YÜKSEK İHTİSAS ÜNİVERSİTESİ;www.yuksekihtisasuniversitesi.e du.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ;https://www.beun.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
